,date,Open,High,Low,Close,Volume,up/down,Sentiment,true_value
6117,2004-03-25,-0.06387652040080175,-0.0584027622873946,-0.0639844479981558,-0.05323183265211075,-0.1867152841734956,1,0.49879332596771225,-1
6118,2004-03-26,-0.04598145294908322,-0.053492778224325487,-0.048958049010793564,-0.05437235213528715,-0.2692733761268589,-1,0.49192386925548703,1
6119,2004-03-29,-0.04711367166243393,-0.044355589068102684,-0.0469985253590634,-0.03982820545159642,-0.2225301314035916,1,0.5682659923083367,1
6120,2004-03-30,-0.032675378158555785,-0.04111238896100376,-0.035221077504103825,-0.03525603442611979,-0.2620779460942264,1,0.48822544760404385,-1
6121,2004-03-31,-0.028136483670521985,-0.03786918885390485,-0.033393542492127413,-0.036053388755066015,-0.13856541403031514,-1,0.5163405077114871,1
6122,2004-04-01,-0.028928034806404226,-0.033009409126858666,-0.028581033627256038,-0.030037905463268868,-0.13856541403031514,1,0.5666172369946167,1
6123,2004-04-02,-0.022956332566077108,-0.02383205650181733,-0.0225197091708674,-0.02030816403157033,-0.10150624431337286,1,0.6002184586163908,1
6124,2004-04-05,-0.013297404781387129,-0.018048516991944374,-0.012904844413413418,-0.011466614763761169,-0.21809385123309635,1,0.7371941781841562,-1
6125,2004-04-06,-0.004520204844262104,-0.018048516991944374,-0.011219451013479716,-0.01389905012168569,-0.22675000766333103,-1,0.6998130852855841,-1
6126,2004-04-07,-0.006934936790434485,-0.02046836598826261,-0.016184254462682315,-0.021600079906318667,-0.1936943102953723,-1,0.69094617804375,-1
6127,2004-04-08,-0.014579918014209029,-0.01965505574468677,-0.02013376068300933,-0.022821344131666782,-0.3338158425097963,-1,0.6943996698736264,1
